[ 2025-06-06 10:33:19,162 ] 18 root - INFO - Initiate the data ingestion
[ 2025-06-06 10:33:23,047 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-06 10:33:23,047 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-06 10:33:23,049 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-06 10:33:23,100 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-06 10:33:23,101 ] 20 root - INFO - Data Initiation Completed
[ 2025-06-06 10:33:23,125 ] 24 root - INFO - Initiate the data Validation
[ 2025-06-06 10:33:23,222 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 10:33:23,224 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 10:33:23,224 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 10:33:23,224 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 10:33:23,367 ] 26 root - INFO - Data Validation Completed
[ 2025-06-06 10:33:23,368 ] 29 root - INFO - data Transformation started
[ 2025-06-06 10:33:23,368 ] 66 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-06 10:33:23,368 ] 68 root - INFO - Starting_data_transformation
[ 2025-06-06 10:33:23,400 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-06 10:33:23,400 ] 56 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-06 10:33:23,419 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 10:33:23,424 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 10:33:23,424 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 10:33:23,428 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 10:33:23,431 ] 33 root - INFO - data Transformation completed
[ 2025-06-06 10:33:23,431 ] 35 root - INFO - Model Training stared
[ 2025-06-06 10:37:35,552 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 10:37:35,553 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 10:37:35,553 ] 138 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_06_2025_10_32_41\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906939105806191, precision_score=0.9878959047811177, recall_score=0.9935078109149929), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9757477768795473, precision_score=0.9686998394863563, recall_score=0.9828990228013029))
[ 2025-06-06 10:37:35,558 ] 40 root - INFO - Model Training artifact created
