[ 2025-06-06 11:01:27,698 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-06-06 11:01:29,015 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-06-06 11:01:30,442 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-06-06 11:01:30,452 ] 107 dagshub - INFO - Accessing as jatinydav557
[ 2025-06-06 11:01:31,655 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/jatinydav557/networksecurity "HTTP/1.1 200 OK"
[ 2025-06-06 11:01:32,814 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-06-06 11:01:32,818 ] 107 dagshub - INFO - Initialized MLflow to track repo "jatinydav557/networksecurity"
[ 2025-06-06 11:01:32,820 ] 107 dagshub - INFO - Repository jatinydav557/networksecurity initialized!
[ 2025-06-06 11:01:32,821 ] 18 root - INFO - Initiate the data ingestion
[ 2025-06-06 11:01:38,760 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-06 11:01:38,760 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-06 11:01:38,760 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-06 11:01:38,862 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-06 11:01:38,864 ] 20 root - INFO - Data Initiation Completed
[ 2025-06-06 11:01:38,874 ] 24 root - INFO - Initiate the data Validation
[ 2025-06-06 11:01:38,977 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 11:01:38,977 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 11:01:38,977 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 11:01:38,977 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 11:01:39,151 ] 26 root - INFO - Data Validation Completed
[ 2025-06-06 11:01:39,151 ] 29 root - INFO - data Transformation started
[ 2025-06-06 11:01:39,151 ] 66 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-06 11:01:39,151 ] 68 root - INFO - Starting_data_transformation
[ 2025-06-06 11:01:39,193 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-06 11:01:39,193 ] 56 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-06 11:01:39,244 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 11:01:39,247 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 11:01:39,247 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 11:01:39,247 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 11:01:39,257 ] 33 root - INFO - data Transformation completed
[ 2025-06-06 11:01:39,257 ] 35 root - INFO - Model Training stared
[ 2025-06-06 11:07:31,917 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-06 11:07:31,920 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-06 11:07:31,921 ] 142 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_06_2025_11_01_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913958902722948, precision_score=0.9896928051738076, recall_score=0.9931048468870411), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9757281553398058, precision_score=0.9678972712680578, recall_score=0.9836867862969005))
[ 2025-06-06 11:07:31,933 ] 40 root - INFO - Model Training artifact created
