[ 2025-06-05 20:04:48,536 ] 14 root - INFO - Initiate the data ingestion
[ 2025-06-05 20:04:51,746 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-05 20:04:51,746 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-05 20:04:51,746 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-05 20:04:51,795 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-05 20:04:51,795 ] 16 root - INFO - Data Initiation Completed
[ 2025-06-05 20:04:51,795 ] 20 root - INFO - Initiate the data Validation
[ 2025-06-05 20:04:51,912 ] 34 root - INFO - Required number of columns:2
[ 2025-06-05 20:04:51,912 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-05 20:04:51,912 ] 34 root - INFO - Required number of columns:2
[ 2025-06-05 20:04:51,912 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-05 20:04:52,045 ] 22 root - INFO - Data Validation Completed
[ 2025-06-05 20:04:52,045 ] 25 root - INFO - data Transformation started
[ 2025-06-05 20:04:52,045 ] 66 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-05 20:04:52,045 ] 68 root - INFO - Starting_data_transformation
[ 2025-06-05 20:04:52,070 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-05 20:04:52,070 ] 56 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-05 20:04:52,078 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-05 20:04:52,085 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-05 20:04:52,085 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-05 20:04:52,088 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-05 20:04:52,089 ] 29 root - INFO - data Transformation completed
