[ 2025-06-05 18:01:07,684 ] 13 root - INFO - Initiate the data ingestion
[ 2025-06-05 18:01:15,100 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-05 18:01:15,100 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-05 18:01:15,100 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-05 18:01:15,156 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-05 18:01:15,156 ] 15 root - INFO - Data Initiation Completed
[ 2025-06-05 18:01:15,172 ] 19 root - INFO - Initiate the data Validation
[ 2025-06-05 18:01:15,293 ] 34 root - INFO - Required number of columns:2
[ 2025-06-05 18:01:15,298 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-05 18:01:15,298 ] 34 root - INFO - Required number of columns:2
[ 2025-06-05 18:01:15,298 ] 35 root - INFO - Data frame has columns:31
